id	emp2008	act2008	unemp2008	birth_2008	death_2008	gdppps1999	gdppps2008	pop1999	pop2008
AT	4089.9	4252.2	162.3	77752	75083	186761	259221	7982461	8318592
BE	4445.9	4779.3	333.4	127205	104587	224031	308142	10213752	10666866
BG	3360.7	3560.4	199.7	77712	110523	40238	82922	8230371	7640238
CH	4228.8	4375.4	146.6	76691	61233	186180	273871	7123537	7593494
CY	382.9	397.4	14.5	9205	5194	10684	19316	682862	789269
CZ	5002.5	5232.3	229.8	119570	104948	127323	210336	10289621	10381130
DE	38879.7	42020.9	3141.2	682514	844439	1785456	2381851	82037011	82217837
DK	2853.8	2951.8	98	65038	54591	123949	169250	5313577	5475791
EE	656.5	694.9	38.4	16028	16675	10443	22812	1379237	1340935
ES	20257.6	22848.2	2590.6	519779	386324	684777	1180204	39802827	45283259
FI	2530.9	2703	172.1	59530	49094	105438	156702	5159646	5300484
FR	26462.9	28698.5	2235.6	828404	542575	1232943	1713350	60122665	63961956
GR	4559.4	4937.3	377.9	118302	107979	160353	263725	10861402	11213785
HR	1635.5	1784.7	149.2	43753	52151	39274	69874	4553769	4436401
HU	3879.4	4208.6	329.1	99149	130027	99634	162140	10253301	10045401
IE	2101.2	2235.9	134.7	73996	28274	84087	147840	3732201	4401335
IS	177.1	182.4	5.4	4835	1987	6866	9726	275712	315459
IT	23404.7	25096.6	1691.9	576659	578192	1191430	1553327	56913634	59619290
LI	17.758	18.175	0.417	350	205	1846	2759	32015	35356
LT	1520	1614.3	94.3	35065	43832	24439	51348	3536401	3366357
LU	202.4	213.1	10.8	5596	3595	18276	34176	427350	483799
LV	1124.5	1215.1	90.5	23948	31006	15333	32013	2399248	2270894
MK	609.015	919.424	310.409	22945	18982	9619	17470	2012705	2045177
MT	160.3	170.6	10.3	4126	3243	5589	8026	378518	410290
NL	8592.7	8835.7	243	184634	135136	368356	550170	15760225	16405399
NO	2513.7	2579.5	65.8	60497	41712	115035	225592	4445329	4737171
PL	15799.8	17010.6	1210.7	414499	379399	330963	537211	38666983	38115641
PT	5197.8	5624.9	427.1	104594	104280	146985	206906	10148883	10617575
RO	9369.1	9944.7	575.5	221900	253202	105003	251305	21946431	21528627
SE	4593	4898.4	305.4	109301	91449	199063	284000	8854322	9182927
SI	996.1	1041.6	45.5	21817	18308	28477	46135	1978334	2010269
SK	2433.7	2689.4	255.7	57360	53164	48579	98037	5393382	5400998
TR	21193	23471	2278	1262333	NA	447913	829869	66531941.41	70586256
UK	29363.9	31116.4	1752.5	794383	579697	1231099	1763903	58637924	61192129
